date,min,max,normal_min,normal_max,precipitation,precipitation_normal
19400516,69,87,71.4,84.7,0,7.35
19400517,,,71.5,84.8,0,7.38
19400518,71,85,71.5,84.9,0.02,7.41
19400519,72,85,71.6,84.9,0.02,7.44
19400520,71,84,71.7,85,0.03,7.46
19400521,72,82,71.8,85.1,0.03,7.49
19400522,70,83,71.9,85.2,0.03,7.52
19400523,70,83,72,85.2,0.11,7.54
19400524,69,82,72,85.3,0.27,7.57
19400525,70,84,72.1,85.4,0.35,7.59
19400526,,,72.2,85.5,0.35,7.62
19400527,,,72.3,85.5,0.36,7.64
19400528,71,84,72.4,85.6,0.36,7.66
19400529,,,72.5,85.7,0.56,7.69
19400530,68,83,72.6,85.8,0.56,7.71
19400531,72,83,72.7,85.9,0.56,7.73
19400601,73,83,72.8,85.9,0.56,7.75
19400602,72,84,72.9,86,0.56,7.77
19400603,73,84,73,86.1,0.58,7.79
19400604,73,85,73,86.2,0.58,7.81
19400605,,,73.1,86.3,0.6,7.82
19400606,,,73.2,86.3,0.64,7.84
19400607,73,85,73.3,86.4,0.64,7.86
19400608,70,85,73.4,86.5,0.64,7.88
19400609,,,73.5,86.5,0.68,7.89
19400610,70,85,73.5,86.6,0.68,7.9
19400611,69,85,73.6,86.7,0.68,7.92
19400612,72,85,73.7,86.8,0.68,7.94
19400613,70,85,73.7,86.8,0.68,7.95
19400614,72,85,73.8,86.9,0.7,7.97
19400615,73,85,73.9,86.9,0.7,7.99
19400616,73,85,73.9,87,0.7,8
19400617,72,86,74,87.1,0.74,8.02
19400618,,,74,87.1,0.74,8.04
19400619,75,85,74.1,87.2,0.74,8.05
19400620,75,86,74.1,87.2,0.74,8.07
19400621,75,85,74.2,87.3,0.74,8.08
19400622,75,85,74.2,87.3,0.74,8.1
19400623,70,84,74.3,87.4,0.74,8.11
19400624,71,86,74.3,87.4,1.09,8.13
19400625,72,86,74.3,87.4,1.09,8.15
19400626,75,84,74.4,87.5,1.09,8.16
19400627,73,84,74.4,87.5,1.09,8.18
19400628,74,85,74.4,87.5,1.11,8.2
19400629,72,85,74.5,87.6,1.12,8.21
19400630,72,85,74.5,87.6,1.13,8.23
19400701,74,85,74.5,87.7,1.13,8.25
19400702,71,84,74.6,87.7,1.13,8.26
19400703,74,84,74.6,87.7,1.13,8.28
19400704,70,86,74.6,87.7,1.13,8.29
19400705,74,86,74.7,87.8,1.13,8.31
19400706,76,85,74.7,87.8,1.13,8.33
19400707,74,86,74.7,87.8,1.13,8.35
19400708,76,86,74.8,87.9,1.13,8.36
19400709,74,86,74.8,87.9,1.13,8.38
19400710,74,86,74.9,87.9,1.13,8.4
19400711,,,74.9,87.9,1.13,8.41
19400712,,,74.9,88,1.13,8.43
19400713,75,86,75,88,1.13,8.44
19400714,76,86,75,88,1.13,8.46
19400715,76,87,75,88.1,1.13,8.47
19400716,77,87,75.1,88.1,1.13,8.49
19400717,76,87,75.1,88.1,1.13,8.51
19400718,73,86,75.2,88.2,1.13,8.52
19400719,74,88,75.2,88.2,1.13,8.54
19400720,,,75.3,88.2,1.13,8.55
19400721,76,85,75.3,88.2,1.13,8.57
19400722,75,85,75.3,88.3,1.13,8.59
19400723,71,87,75.4,88.3,1.13,8.61
19400724,70,88,75.4,88.3,1.13,8.63
19400725,71,87,75.5,88.4,1.13,8.64
19400726,73,86,75.5,88.4,1.15,8.66
19400727,72,87,75.5,88.4,1.15,8.68
19400728,74,86,75.6,88.5,1.15,8.7
19400729,74,86,75.6,88.5,1.15,8.71
19400730,75,85,75.6,88.5,1.78,8.73
19400731,74,86,75.7,88.6,1.82,8.75
19400801,74,85,75.7,88.6,1.84,8.77
19400802,72,84,75.7,88.6,1.84,8.79
19400803,73,86,75.7,88.6,1.84,8.81
19400804,75,86,75.7,88.7,1.84,8.83
19400805,76,88,75.8,88.7,1.84,8.85
19400806,,,75.8,88.7,1.84,8.87
19400807,76,86,75.8,88.7,1.86,8.89
19400808,,,75.8,88.8,1.9,8.9
19400809,76,86,75.8,88.8,1.9,8.92
19400810,77,86,75.8,88.8,1.9,8.94
19400811,77,87,75.8,88.8,1.9,8.96
19400812,,,75.8,88.8,1.9,8.99
19400813,,,75.8,88.8,1.9,9.01
19400814,77,86,75.7,88.9,1.9,9.04
19400815,,,75.7,88.9,1.94,9.07
19400816,75,85,75.7,88.9,1.95,9.1
19400817,73,84,75.7,88.9,2.03,9.13
19400818,74,86,75.7,88.9,2.03,9.16
19400819,77,87,75.6,88.9,2.03,9.19
19400820,77,87,75.6,88.9,2.03,9.22
19400821,75,86,75.6,88.9,2.03,9.25
19400822,76,86,75.5,88.9,2.03,9.28
19400823,75,87,75.5,88.9,2.03,9.31
19400824,76,86,75.4,88.9,2.07,9.34
19400825,76,85,75.4,88.9,2.08,9.38
19400826,76,86,75.4,88.8,2.08,9.41
19400827,74,85,75.3,88.8,2.08,9.44
19400828,75,84,75.3,88.8,2.12,9.47
19400829,73,85,75.2,88.8,2.12,9.51
19400830,74,85,75.2,88.8,2.24,9.55
19400831,,,75.2,88.8,2.24,9.59
19400901,77,86,75.1,88.7,2.24,9.62
19400902,,,75.1,88.7,2.24,9.66
19400903,75,86,75.1,88.7,2.24,9.7
19400904,73,85,75,88.7,2.4,9.73
19400905,75,86,75,88.7,2.42,9.77
19400906,76,86,75,88.6,2.42,9.8
19400907,73,85,74.9,88.6,2.5,9.84
19400908,74,86,74.9,88.6,2.5,9.87
19400909,71,86,74.9,88.6,2.5,9.9
19400910,73,87,74.9,88.6,2.5,9.93
19400911,71,85,74.8,88.5,2.5,9.96
19400912,72,85,74.8,88.5,2.5,9.99
19400913,71,85,74.8,88.5,2.5,10.02
19400914,72,85,74.8,88.5,2.5,10.05
19400915,72,86,74.8,88.4,2.5,10.07
19400916,73,87,74.7,88.4,2.5,10.1
19400917,,,74.7,88.4,2.5,10.13
19400918,74,87,74.7,88.4,2.54,10.15
19400919,75,87,74.7,88.3,2.54,10.18
19400920,71,88,74.7,88.3,2.54,10.21
19400921,72,87,74.7,88.3,2.54,10.23
19400922,69,86,74.7,88.2,2.54,10.26
19400923,68,87,74.7,88.2,2.54,10.29
19400924,,,74.7,88.2,2.66,10.31
19400925,,,74.7,88.1,2.7,10.34
19400926,76,86,74.7,88.1,2.7,10.37
19400927,74,86,74.6,88.1,2.7,10.39
19400928,75,86,74.6,88,2.7,10.42
19400929,74,85,74.6,88,2.7,10.45
19400930,71,86,74.6,88,2.7,10.47
19401001,73,85,74.6,87.9,3.29,10.5
19401002,71,85,74.6,87.9,3.8,10.53
19401003,72,90,74.5,87.8,3.84,10.56
19401004,,,74.5,87.8,3.88,10.59
19401005,75,85,74.5,87.7,3.88,10.63
19401006,75,85,74.5,87.7,3.88,10.67
19401007,74,85,74.4,87.6,3.88,10.71
19401008,71,86,74.4,87.6,3.88,10.75
19401009,70,87,74.4,87.5,3.88,10.79
19401010,70,88,74.3,87.4,3.88,10.83
19401011,,,74.3,87.4,3.88,10.87
19401012,73,86,74.2,87.3,3.88,10.92
19401013,73,84,74.2,87.2,3.88,10.96
19401014,72,86,74.1,87.1,3.88,11
19401015,72,87,74.1,87.1,3.88,11.05
19401016,70,86,74,87,3.88,11.09
19401017,,,73.9,86.9,3.88,11.14
19401018,,,73.9,86.8,3.88,11.18
19401019,71,82,73.8,86.7,3.9,11.23
19401020,73,86,73.7,86.7,3.9,11.28
19401021,71,87,73.7,86.6,3.9,11.34
19401022,74,88,73.6,86.5,3.91,11.41
19401023,,,73.5,86.4,4.19,11.47
19401024,,,73.4,86.3,4.19,11.54
19401025,75,85,73.4,86.2,4.19,11.6
19401026,74,85,73.3,86.1,4.19,11.67
19401027,,,73.2,86,4.19,11.73
19401028,74,83,73.1,85.9,4.19,11.79
19401029,74,85,73,85.8,4.23,11.85
19401030,,,73,85.7,4.23,11.92
19401031,74,85,72.9,85.6,4.23,11.98
19401101,76,84,72.8,85.5,4.24,12.06
19401102,,,72.7,85.4,4.28,12.14
19401103,72,84,72.7,85.3,4.3,12.22
19401104,71,83,72.6,85.2,4.31,12.29
19401105,72,84,72.5,85.1,4.31,12.37
19401106,68,84,72.4,85,4.31,12.45
19401107,,,72.4,84.9,4.31,12.52
19401108,69,85,72.3,84.8,4.31,12.6
19401109,72,86,72.2,84.7,4.31,12.68
19401110,,,72.1,84.6,4.33,12.76
19401111,,,72.1,84.5,4.33,12.83
19401112,68,81,72,84.4,4.33,12.91
19401113,67,81,71.9,84.3,4.33,12.99
19401114,,,71.9,84.2,4.33,13.07
19401115,72,84,71.8,84.1,4.33,13.15
19401116,73,82,71.8,84,4.33,13.23
19401117,72,84,71.7,83.9,4.33,13.32
19401118,,,71.6,83.8,4.34,13.4
19401119,69,82,71.6,83.7,4.5,13.47
19401120,,,71.5,83.7,10.01,13.54
19401121,65,82,71.4,83.6,10.01,13.61
19401122,68,82,71.4,83.5,10.01,13.67
19401123,66,85,71.3,83.4,10.01,13.74
19401124,67,85,71.2,83.3,10.01,13.81
19401125,70,86,71.2,83.3,10.01,13.88
19401126,,,71.1,83.2,10.01,13.95
19401127,,,71,83.1,10.21,14.02
19401128,72,83,71,83,10.21,14.09
19401129,,,70.9,83,10.21,14.16
19401130,68,85,70.8,82.9,10.21,14.23
19401201,70,84,70.7,82.8,10.21,14.29
19401202,,,70.7,82.7,10.21,14.35
19401203,70,83,70.6,82.7,10.21,14.41
19401204,72,84,70.5,82.6,10.22,14.47
19401205,69,82,70.4,82.5,10.26,14.53
19401206,,,70.3,82.4,10.3,14.59
19401207,69,79,70.2,82.4,10.3,14.65
19401208,68,81,70.1,82.3,10.3,14.71
19401209,68,82,70,82.2,10.3,14.77
19401210,69,81,69.9,82.2,10.3,14.83
19401211,,,69.8,82.1,10.3,14.89
19401212,68,82,69.7,82,10.3,14.96
19401213,64,82,69.6,82,10.3,15.03
19401214,64,82,69.5,81.9,10.3,15.1
19401215,66,82,69.4,81.8,10.3,15.17
19401216,66,83,69.2,81.8,10.3,15.24
19401217,,,69.1,81.7,10.34,15.31
19401218,68,83,69,81.6,10.5,15.38
19401219,69,82,68.9,81.6,10.5,15.46
19401220,66,84,68.8,81.5,10.5,15.55
19401221,,,68.6,81.5,10.5,15.63
19401222,67,83,68.5,81.4,10.5,15.71
19401223,,,68.4,81.3,10.5,15.79
19401224,65,79,68.3,81.3,10.54,15.87
19401225,,,68.2,81.2,10.54,15.95
19401226,63,72,68.1,81.2,10.54,16.03
19401227,,,67.9,81.1,10.54,16.1
19401228,,,67.8,81.1,10.54,16.18
19401229,,,67.7,81,10.54,16.25
19401230,,,67.6,80.9,10.54,16.33
19401231,,,67.5,80.9,10.54,16.41
19410101,,,67.4,80.9,0,0.08
19410102,68,80,67.3,80.8,0,0.15
19410103,67,83,67.3,80.8,0,0.22
19410104,,,67.2,80.7,0.04,0.29
19410105,69,82,67.1,80.7,0.04,0.36
19410106,70,81,67,80.7,0.04,0.44
19410107,63,80,67,80.6,0.04,0.51
19410108,,,66.9,80.6,0.04,0.58
19410109,66,81,66.8,80.6,0.04,0.65
19410110,,,66.8,80.5,0.2,0.72
19410111,64,75,66.8,80.5,0.2,0.78
19410112,64,76,66.7,80.5,0.2,0.84
19410113,62,76,66.7,80.5,0.2,0.9
19410114,61,79,66.7,80.4,0.2,0.96
19410115,61,78,66.6,80.4,0.2,1.02
19410116,,,66.6,80.4,0.2,1.07
19410117,,,66.6,80.4,0.2,1.13
19410118,65,80,66.6,80.4,0.2,1.17
19410119,63,81,66.6,80.4,0.2,1.22
19410120,61,82,66.6,80.4,0.2,1.27
19410121,65,81,66.6,80.4,0.2,1.32
19410122,67,81,66.6,80.4,0.2,1.37
19410123,67,83,66.6,80.4,0.2,1.42
19410124,,,66.6,80.4,0.2,1.48
19410125,,,66.7,80.4,0.28,1.53
19410126,,,66.7,80.4,0.48,1.58
19410127,68,81,66.7,80.4,0.56,1.62
19410128,68,83,66.7,80.4,0.56,1.68
19410129,,,66.7,80.4,0.56,1.73
19410130,,,66.8,80.4,0.56,1.78
19410131,64,80,66.8,80.4,0.56,1.84
19410201,61,80,66.8,80.4,0.56,1.9
19410202,60,80,66.8,80.4,0.56,1.97
19410203,63,82,66.9,80.4,0.6,2.03
19410204,,,66.9,80.4,0.6,2.09
19410205,,,66.9,80.4,0.6,2.15
19410206,63,79,67,80.5,0.6,2.21
19410207,,,67,80.5,0.6,2.27
19410208,,,67,80.5,0.6,2.34
19410209,56,72,67,80.5,0.6,2.4
19410210,,,67,80.5,0.6,2.46
19410211,63,76,67.1,80.5,0.64,2.51
19410212,65,77,67.1,80.5,0.64,2.57
19410213,65,76,67.1,80.5,0.64,2.64
19410214,62,77,67.1,80.5,0.64,2.71
19410215,63,80,67.1,80.5,0.64,2.78
19410216,64,82,67.1,80.5,0.64,2.85
19410217,64,81,67.2,80.5,0.64,2.93
19410218,62,80,67.2,80.5,0.64,3
19410219,65,82,67.2,80.5,0.64,3.08
19410220,62,82,67.2,80.5,0.64,3.15
19410221,66,82,67.2,80.5,0.72,3.23
19410222,,,67.2,80.5,0.72,3.31
19410223,67,82,67.2,80.5,0.76,3.39
19410224,66,80,67.2,80.6,0.96,3.47
19410225,,,67.3,80.6,0.96,3.55
19410226,,,67.3,80.6,0.96,3.63
19410227,63,74,67.3,80.6,0.96,3.7
19410228,66,76,67.3,80.6,0.96,3.78
19410301,67,79,67.3,80.6,0.96,3.85
19410302,60,78,67.4,80.6,0.96,3.93
19410303,,,67.4,80.6,1,4
19410304,67,78,67.4,80.7,1.01,4.08
19410305,63,79,67.4,80.7,1.01,4.16
19410306,,,67.5,80.7,1.01,4.24
19410307,66,74,67.5,80.7,1.01,4.31
19410308,62,75,67.6,80.8,1.01,4.39
19410309,66,75,67.6,80.8,1.01,4.48
19410310,68,77,67.6,80.8,1.01,4.57
19410311,68,79,67.7,80.9,1.01,4.66
19410312,66,80,67.8,80.9,1.01,4.76
19410313,64,81,67.8,81,1.01,4.85
19410314,,,67.9,81,1.01,4.93
19410315,64,76,67.9,81.1,1.01,5.01
19410316,66,76,68,81.1,1.01,5.09
19410317,67,78,68.1,81.2,1.01,5.18
19410318,68,78,68.1,81.2,1.03,5.25
19410319,68,80,68.2,81.3,1.03,5.33
19410320,,,68.3,81.3,1.03,5.41
19410321,68,82,68.4,81.4,1.04,5.48
19410322,67,82,68.4,81.5,1.04,5.55
19410323,65,81,68.5,81.5,1.12,5.62
19410324,67,81,68.6,81.6,1.12,5.68
19410325,,,68.7,81.7,1.12,5.75
19410326,67,79,68.8,81.7,1.14,5.82
19410327,66,76,68.9,81.8,1.18,5.89
19410328,66,77,68.9,81.9,1.18,5.95
19410329,67,78,69,81.9,1.18,6.01
19410330,64,76,69.1,82,1.18,6.08
19410331,66,76,69.2,82.1,1.18,6.14
19410401,67,77,69.3,82.2,1.18,6.18
19410402,63,78,69.4,82.2,1.18,6.23
19410403,70,80,69.4,82.3,1.18,6.27
19410404,67,79,69.5,82.4,1.22,6.31
19410405,67,79,69.6,82.5,1.26,6.35
19410406,69,79,69.7,82.5,1.3,6.39
19410407,70,79,69.7,82.6,1.3,6.42
19410408,,,69.8,82.7,1.3,6.45
19410409,70,78,69.9,82.7,1.3,6.48
19410410,70,80,69.9,82.8,1.3,6.51
19410411,65,80,70,82.9,1.3,6.53
19410412,68,82,70,82.9,1.3,6.55
19410413,,,70.1,83,1.3,6.58
19410414,69,82,70.1,83.1,1.3,6.6
19410415,65,84,70.2,83.1,1.3,6.62
19410416,64,83,70.2,83.2,1.3,6.64
19410417,66,82,70.2,83.2,1.3,6.66
19410418,68,83,70.3,83.3,1.3,6.68
19410419,,,70.3,83.3,1.3,6.7
19410420,,,70.4,83.4,1.42,6.72
19410421,,,70.4,83.4,1.42,6.74
19410422,,,70.4,83.5,1.42,6.76
19410423,67,83,70.4,83.5,1.42,6.77
19410424,68,85,70.5,83.6,1.43,6.79
19410425,67,83,70.5,83.6,1.43,6.81
19410426,67,84,70.5,83.7,1.43,6.83
19410427,70,83,70.6,83.7,1.43,6.85
19410428,71,83,70.6,83.8,1.43,6.87
19410429,72,81,70.6,83.8,1.43,6.89
19410430,72,84,70.6,83.9,1.43,6.91
19410501,69,84,70.7,83.9,1.43,6.93
19410502,,,70.7,84,1.43,6.96
19410503,,,70.7,84,1.43,6.99
19410504,,,70.8,84.1,1.43,7.01
19410505,68,84,70.8,84.1,1.43,7.04
19410506,70,84,70.8,84.2,1.43,7.07
19410507,68,83,70.9,84.2,1.43,7.09
19410508,70,82,70.9,84.3,1.44,7.12
19410509,69,80,71,84.3,1.44,7.14
19410510,70,78,71,84.4,1.44,7.17
19410511,69,80,71.1,84.4,1.44,7.2
19410512,68,82,71.1,84.5,1.44,7.23
19410513,,,71.2,84.6,1.44,7.26
19410514,68,81,71.3,84.6,1.48,7.29
19410515,66,81,71.3,84.7,1.48,7.32
19410516,72,80,71.4,84.7,1.48,7.35
19410517,71,82,71.5,84.8,1.49,7.38
19410518,,,71.5,84.9,1.57,7.41
19410519,73,85,71.6,84.9,1.57,7.44
19410520,67,85,71.7,85,1.57,7.46
19410521,,,71.8,85.1,1.57,7.49
19410522,66,83,71.9,85.2,1.57,7.52
19410523,66,85,72,85.2,1.57,7.54
19410524,68,82,72,85.3,1.57,7.57
19410525,72,82,72.1,85.4,1.57,7.59
19410526,70,81,72.2,85.5,1.57,7.62
19410527,69,80,72.3,85.5,1.57,7.64
19410528,68,82,72.4,85.6,1.57,7.66
19410529,69,81,72.5,85.7,1.57,7.69
19410530,,,72.6,85.8,1.57,7.71
19410531,65,82,72.7,85.9,1.57,7.73
19410601,67,82,72.8,85.9,1.57,7.75
19410602,66,84,72.9,86,1.57,7.77
19410603,68,87,73,86.1,1.57,7.79
19410604,68,88,73,86.2,1.57,7.81
19410605,75,86,73.1,86.3,1.57,7.82
19410606,74,86,73.2,86.3,1.57,7.84
19410607,73,85,73.3,86.4,1.57,7.86
19410608,73,86,73.4,86.5,1.57,7.88
19410609,70,85,73.5,86.5,1.57,7.89
19410610,70,87,73.5,86.6,1.57,7.9
19410611,74,86,73.6,86.7,1.57,7.92
19410612,73,86,73.7,86.8,1.57,7.94
19410613,75,85,73.7,86.8,1.57,7.95
19410614,75,84,73.8,86.9,1.57,7.97
19410615,71,85,73.9,86.9,1.57,7.99
19410616,72,84,73.9,87,1.57,8
19410617,74,84,74,87.1,1.57,8.02
19410618,72,84,74,87.1,1.57,8.04
19410619,73,84,74.1,87.2,1.59,8.05
19410620,74,85,74.1,87.2,1.59,8.07
19410621,,,74.2,87.3,1.59,8.08
19410622,73,83,74.2,87.3,1.59,8.1
19410623,73,85,74.3,87.4,1.59,8.11
19410624,75,85,74.3,87.4,1.59,8.13
19410625,72,84,74.3,87.4,1.9,8.15
19410626,74,84,74.4,87.5,1.9,8.16
19410627,74,84,74.4,87.5,1.9,8.18
19410628,74,84,74.4,87.5,1.9,8.2
19410629,74,84,74.5,87.6,1.9,8.21
19410630,74,85,74.5,87.6,2.18,8.23
19410701,72,84,74.5,87.7,2.18,8.25
19410702,73,84,74.6,87.7,2.18,8.26
19410703,74,85,74.6,87.7,2.18,8.28
19410704,74,85,74.6,87.7,2.18,8.29
19410705,74,84,74.7,87.8,2.18,8.31
19410706,72,84,74.7,87.8,2.18,8.33
19410707,,,74.7,87.8,2.18,8.35
19410708,74,85,74.8,87.9,2.18,8.36
19410709,73,84,74.8,87.9,2.22,8.38
19410710,76,86,74.9,87.9,2.22,8.4
19410711,76,87,74.9,87.9,2.22,8.41
19410712,75,86,74.9,88,2.22,8.43
19410713,71,85,75,88,2.22,8.44
19410714,70,86,75,88,2.22,8.46
19410715,72,86,75,88.1,2.22,8.47
19410716,,,75.1,88.1,2.22,8.49
19410717,72,86,75.1,88.1,2.24,8.51
19410718,,,75.2,88.2,2.24,8.52
19410719,73,86,75.2,88.2,2.24,8.54
19410720,77,86,75.3,88.2,2.24,8.55
19410721,75,85,75.3,88.2,2.24,8.57
19410722,74,85,75.3,88.3,2.24,8.59
19410723,73,85,75.4,88.3,2.24,8.61
19410724,73,87,75.4,88.3,2.24,8.63
19410725,74,88,75.5,88.4,2.24,8.64
19410726,71,88,75.5,88.4,2.24,8.66
19410727,72,87,75.5,88.4,2.24,8.68
19410728,75,87,75.6,88.5,2.24,8.7
19410729,74,88,75.6,88.5,2.24,8.71
19410730,76,85,75.6,88.5,2.24,8.73
19410731,,,75.7,88.6,2.24,8.75
19410801,71,90,75.7,88.6,2.24,8.77
19410802,,,75.7,88.6,2.24,8.79
19410803,74,87,75.7,88.6,2.24,8.81
19410804,72,86,75.7,88.7,2.36,8.83
19410805,75,86,75.8,88.7,2.36,8.85
19410806,77,87,75.8,88.7,2.36,8.87
19410807,74,86,75.8,88.7,2.36,8.89
19410808,75,89,75.8,88.8,3.27,8.9
19410809,,,75.8,88.8,3.27,8.92
19410810,77,86,75.8,88.8,3.27,8.94
19410811,74,84,75.8,88.8,3.27,8.96
19410812,70,84,75.8,88.8,3.27,8.99
19410813,71,85,75.8,88.8,3.27,9.01
19410814,69,88,75.7,88.9,3.27,9.04
19410815,74,89,75.7,88.9,3.27,9.07
19410816,79,87,75.7,88.9,3.27,9.1
19410817,77,87,75.7,88.9,3.27,9.13
19410818,76,87,75.7,88.9,3.27,9.16
19410819,,,75.6,88.9,3.28,9.19
19410820,75,85,75.6,88.9,3.3,9.22
19410821,74,84,75.6,88.9,3.32,9.25
19410822,73,87,75.5,88.9,3.32,9.28
19410823,74,86,75.5,88.9,3.32,9.31
19410824,74,88,75.4,88.9,3.32,9.34
19410825,73,89,75.4,88.9,3.32,9.38
19410826,,,75.4,88.8,3.32,9.41
19410827,76,88,75.3,88.8,3.32,9.44
19410828,,,75.3,88.8,3.32,9.47
19410829,76,86,75.2,88.8,3.32,9.51
19410830,,,75.2,88.8,3.36,9.55
19410831,73,85,75.2,88.8,3.4,9.59
19410901,74,85,75.1,88.7,3.44,9.62
19410902,,,75.1,88.7,3.44,9.66
19410903,77,87,75.1,88.7,3.44,9.7
19410904,76,85,75,88.7,3.44,9.73
19410905,74,86,75,88.7,3.44,9.77
19410906,,,75,88.6,3.6,9.8
19410907,76,85,74.9,88.6,3.6,9.84
19410908,76,87,74.9,88.6,3.6,9.87
19410909,74,86,74.9,88.6,3.6,9.9
19410910,73,86,74.9,88.6,3.6,9.93
19410911,74,87,74.8,88.5,3.6,9.96
19410912,71,87,74.8,88.5,3.6,9.99
19410913,,,74.8,88.5,3.6,10.02
19410914,72,91,74.8,88.5,3.6,10.05
19410915,74,90,74.8,88.4,3.6,10.07
19410916,74,88,74.7,88.4,3.6,10.1
19410917,,,74.7,88.4,3.6,10.13
19410918,74,85,74.7,88.4,3.61,10.15
19410919,75,86,74.7,88.3,3.61,10.18
19410920,75,86,74.7,88.3,3.61,10.21
19410921,74,90,74.7,88.3,3.61,10.23
19410922,75,88,74.7,88.2,3.61,10.26
19410923,72,88,74.7,88.2,3.61,10.29
19410924,,,74.7,88.2,3.61,10.31
19410925,76,87,74.7,88.1,3.61,10.34
19410926,,,74.7,88.1,3.61,10.37
19410927,,,74.6,88.1,3.61,10.39
19410928,77,86,74.6,88,3.61,10.42
19410929,76,85,74.6,88,3.61,10.45
19410930,73,84,74.6,88,3.62,10.47
19411001,74,86,74.6,87.9,3.63,10.5
19411002,76,86,74.6,87.9,3.67,10.53
19411003,74,85,74.5,87.8,3.67,10.56
19411004,75,86,74.5,87.8,3.67,10.59
19411005,71,85,74.5,87.7,3.67,10.63
19411006,,,74.5,87.7,3.67,10.67
19411007,,,74.4,87.6,4.18,10.71
19411008,,,74.4,87.6,4.49,10.75
19411009,74,84,74.4,87.5,4.49,10.79
19411010,77,83,74.3,87.4,4.49,10.83
19411011,76,83,74.3,87.4,4.49,10.87
19411012,76,83,74.2,87.3,4.49,10.92
19411013,75,82,74.2,87.2,4.49,10.96
19411014,,,74.1,87.1,4.5,11
19411015,73,83,74.1,87.1,4.51,11.05
19411016,,,74,87,4.51,11.09
19411017,74,83,73.9,86.9,4.51,11.14
19411018,73,83,73.9,86.8,4.51,11.18
19411019,,,73.8,86.7,4.51,11.23
19411020,71,83,73.7,86.7,4.51,11.28
19411021,69,86,73.7,86.6,4.51,11.34
19411022,69,84,73.6,86.5,5.49,11.41
19411023,70,78,73.5,86.4,5.96,11.47
19411024,70,79,73.4,86.3,6.12,11.54
19411025,69,81,73.4,86.2,6.12,11.6
19411026,67,85,73.3,86.1,6.12,11.67
19411027,72,86,73.2,86,6.12,11.73
19411028,72,86,73.1,85.9,6.13,11.79
19411029,,,73,85.8,6.48,11.85
19411030,73,90,73,85.7,6.48,11.92
19411031,72,89,72.9,85.6,6.48,11.98
19411101,,,72.8,85.5,6.48,12.06
19411102,68,86,72.7,85.4,6.48,12.14
19411103,67,85,72.7,85.3,6.48,12.22
19411104,68,84,72.6,85.2,6.48,12.29
19411105,68,85,72.5,85.1,6.48,12.37
19411106,71,85,72.4,85,6.48,12.45
19411107,68,86,72.4,84.9,6.48,12.52
19411108,67,87,72.3,84.8,6.48,12.6
19411109,71,88,72.2,84.7,6.48,12.68
19411110,72,87,72.1,84.6,6.48,12.76
19411111,,,72.1,84.5,6.48,12.83
19411112,65,86,72,84.4,6.48,12.91
19411113,,,71.9,84.3,6.48,12.99
19411114,67,85,71.9,84.2,6.48,13.07
19411115,70,87,71.8,84.1,6.48,13.15
19411116,,,71.8,84,6.48,13.23
19411117,71,90,71.7,83.9,6.48,13.32
19411118,,,71.6,83.8,6.48,13.4
19411119,,,71.6,83.7,6.48,13.47
19411120,,,71.5,83.7,6.48,13.54
19411121,74,87,71.4,83.6,6.56,13.61
19411122,72,87,71.4,83.5,6.58,13.67
19411123,74,86,71.3,83.4,6.58,13.74
19411124,,,71.2,83.3,6.58,13.81
19411125,64,86,71.2,83.3,6.58,13.88
19411126,,,71.1,83.2,6.58,13.95
19411127,67,86,71,83.1,6.58,14.02
19411128,,,71,83,6.58,14.09
19411129,63,82,70.9,83,6.58,14.16
19411130,,,70.8,82.9,6.58,14.23
19411201,,,70.7,82.8,6.6,14.29
19411202,67,79,70.7,82.7,6.6,14.35
19411203,,,70.6,82.7,6.64,14.41
19411204,69,84,70.5,82.6,6.64,14.47
19411205,69,83,70.4,82.5,6.64,14.53
19411206,70,85,70.3,82.4,6.64,14.59
19411207,70,86,70.2,82.4,6.64,14.65
19411208,,,70.1,82.3,6.68,14.71
19411209,70,84,70,82.2,6.7,14.77
19411210,,,69.9,82.2,6.7,14.83
19411211,,,69.8,82.1,6.74,14.89
19411212,,,69.7,82,6.74,14.96
19411213,,,69.6,82,6.74,15.03
19411214,,,69.5,81.9,6.74,15.1
19411215,,,69.4,81.8,6.74,15.17
19411216,,,69.2,81.8,6.74,15.24
19411217,,,69.1,81.7,6.74,15.31
19411218,,,69,81.6,6.74,15.38
19411219,,,68.9,81.6,6.74,15.46
19411220,,,68.8,81.5,6.74,15.55
19411221,,,68.6,81.5,6.74,15.63
19411222,,,68.5,81.4,6.74,15.71
19411223,,,68.4,81.3,6.74,15.79
19411224,,,68.3,81.3,6.74,15.87
19411225,,,68.2,81.2,6.74,15.95
19411226,,,68.1,81.2,6.74,16.03
19411227,,,67.9,81.1,6.74,16.1
19411228,,,67.8,81.1,6.74,16.18
19411229,,,67.7,81,6.74,16.25
19411230,,,67.6,80.9,6.82,16.33
19411231,,,67.5,80.9,6.82,16.41
19420101,,,67.4,80.9,0,0.08
19420102,,,67.3,80.8,0,0.15
19420103,,,67.3,80.8,0,0.22
19420104,,,67.2,80.7,0,0.29
19420105,,,67.1,80.7,0.01,0.36
19420106,,,67,80.7,0.01,0.44
19420107,,,67,80.6,0.05,0.51
19420108,,,66.9,80.6,0.07,0.58
19420109,,,66.8,80.6,0.07,0.65
